genome,completeness,contamination,strain_heterogeneity,length,N50,centrality
chicken1_D10_maxbin.020.fasta.contigs.fa,85.01,0.67,0.0,2602384,80177,0.9991220727272728
chicken1_D10_maxbin.021.fasta.contigs.fa,94.74,7.02,33.33,2657845,18140,0.9910082442105264
chicken1_D10_maxbin.022.fasta.contigs.fa,33.83,6.19,16.67,2719921,20143,0.0
chicken1_D10_maxbin.026.fasta.contigs.fa,39.46,1.39,40.0,1151696,5293,0.0
chicken1_D10_maxbin.027.fasta.contigs.fa,77.58,40.3,3.31,5308853,52006,0.0
chicken1_D10_maxbin.028.fasta.contigs.fa,59.81,0.63,0.0,2000451,78500,0.0
chicken1_D10_maxbin.029.fasta.contigs.fa,76.19,0.68,0.0,1836565,56575,0.9994984755555555
chicken1_D10_maxbin.030.fasta.contigs.fa,22.47,3.16,14.29,968697,33028,0.0
chicken1_D10_maxbin.031.fasta.contigs.fa,17.98,0.0,0.0,897729,22667,0.0
chicken1_D10_maxbin.034.fasta.contigs.fa,88.59,0.84,11.11,2609996,58578,0.9994225925
chicken1_D10_maxbin.035.fasta.contigs.fa,93.97,41.91,77.01,3105668,13215,0.0
chicken1_D10_maxbin.036.fasta.contigs.fa,95.28,2.36,33.33,3059079,23683,0.9979088285714287
chicken1_D10_maxbin.037.fasta.contigs.fa,87.96,10.28,3.57,2560411,30434,0.9982943200000001
chicken1_D10_maxbin.038.fasta.contigs.fa,86.37,9.36,9.38,2684525,16267,0.9938382633333335
chicken1_D10_maxbin.039.fasta.contigs.fa,93.23,7.03,35.71,3449934,7535,0.9935530011764705
chicken1_D10_maxbin.042.fasta_sub.contigs.fa,70.19,15.48,2.5,2878426,5954,0.9988775978260868
chicken1_D10_maxbin.044.fasta.contigs.fa,89.72,5.58,13.04,2409252,9709,0.9954646381818182
chicken1_D10_maxbin.048.fasta.contigs.fa,70.51,38.63,18.37,1790739,4731,0.0
chicken1_D10_maxbin.049.fasta.contigs.fa,44.9,12.08,28.57,1640128,4259,0.0
chicken1_D10_maxbin.050.fasta.contigs.fa,68.07,8.84,4.76,3057946,3191,0.0
chicken1_D10_maxbin.054.fasta.contigs.fa,81.03,30.09,24.41,2497039,4083,0.0
chicken1_D10_maxbin.061.fasta.contigs.fa,7.21,1.08,36.36,656613,2215,0.0
chicken1_D10_maxbin.069.fasta.contigs.fa,53.74,13.5,0.0,1190301,1532,0.0
chicken1_D10_metabat2.32.fa.contigs.fa,27.97,0.0,0.0,524323,63571,0.0
chicken1_D10_metabat2.93.fa.contigs.fa,6.04,0.0,0.0,313903,202537,0.0
chicken1_D11_maxbin.001.fasta.contigs.fa,100.0,0.0,0.0,3954445,219571,0.9998987899999999
chicken1_D11_maxbin.002.fasta.contigs.fa,43.09,0.87,62.5,1892772,15403,0.0
chicken1_D11_maxbin.003.fasta.contigs.fa,97.32,0.67,0.0,3292165,44320,0.9954808673170733
chicken1_D11_maxbin.005.fasta.contigs.fa,88.1,0.91,0.0,2626792,69401,0.9985453006666667
chicken1_D11_maxbin.007.fasta.contigs.fa,77.34,1.57,0.0,1497571,59709,0.9998866676
chicken1_D11_maxbin.008.fasta.contigs.fa,94.34,4.85,0.0,2459411,40731,0.9970015768421053
chicken1_D11_maxbin.010.fasta.contigs.fa,92.95,0.94,0.0,2551317,120561,0.9994558109375
chicken1_D11_maxbin.011.fasta.contigs.fa,85.13,0.47,33.33,3077633,69160,0.9967412573684211
chicken1_D11_maxbin.012.fasta.contigs.fa,37.7,5.37,0.0,1266057,36706,0.0
chicken1_D11_maxbin.013.fasta.contigs.fa,28.19,2.62,12.5,878603,22335,0.0
chicken1_D11_maxbin.014.fasta.contigs.fa,78.52,2.68,0.0,2245476,91487,0.9976960203846155
chicken1_D11_maxbin.017.fasta.contigs.fa,59.13,2.35,25.0,1668483,24091,0.0
chicken1_D11_maxbin.018.fasta.contigs.fa,78.69,2.13,66.67,1761727,21348,0.992641098
chicken1_D11_maxbin.019.fasta_sub.contigs.fa,89.01,1.7,0.0,2213739,50809,0.9998703800000001
chicken1_D11_maxbin.021.fasta.contigs.fa,88.11,0.9,0.0,1855849,286531,0.9998145634782607
chicken1_D11_maxbin.022.fasta.contigs.fa,97.38,0.0,0.0,2966835,257716,0.9998351388888888
chicken1_D11_maxbin.023.fasta.contigs.fa,84.21,1.61,0.0,3189797,60432,0.998436908181818
chicken1_D11_maxbin.024.fasta_sub.contigs.fa,69.39,8.13,92.86,2546786,44697,0.0
chicken1_D11_maxbin.025.fasta.contigs.fa,68.82,5.72,66.67,2143046,15023,0.0
chicken1_D11_maxbin.026.fasta.contigs.fa,87.62,11.01,20.59,2252784,19630,0.9993657183333333
chicken1_D11_maxbin.030.fasta.contigs.fa,92.37,10.43,37.04,3393934,6304,0.9910800864705882
chicken1_D11_maxbin.032.fasta.contigs.fa,84.78,18.71,10.42,3876894,13217,0.999455215
chicken1_D11_maxbin.034.fasta_sub.contigs.fa,77.59,14.34,17.24,4524309,2943,0.9973409535
chicken1_D11_maxbin.036.fasta_sub.contigs.fa,79.71,15.7,32.79,2910913,6296,0.9959949910526315
chicken1_D11_maxbin.045.fasta.contigs.fa,57.95,3.85,0.0,1837821,2424,0.0
chicken1_D11_metabat2.33.fa.contigs.fa,57.5,0.06,100.0,1375380,28099,0.0
chicken1_D11_metabat2.34.fa.contigs.fa,26.42,0.0,0.0,532951,20705,0.0
chicken1_D11_metabat2.37.fa_sub.contigs.fa,87.0,1.91,0.0,3069801,20221,0.994296218
chicken1_D11_metabat2.60.fa.contigs.fa,74.55,1.93,11.11,1957855,29181,0.9987948333333333
chicken1_D12_maxbin.001.fasta.contigs.fa,100.0,0.0,0.0,4023392,219558,0.9998956173809522
chicken1_D12_maxbin.002.fasta.contigs.fa,93.96,0.0,0.0,2488954,38842,0.9952688504878047
chicken1_D12_maxbin.004.fasta.contigs.fa,89.8,0.12,0.0,2620821,115728,0.9987945913333333
chicken1_D12_maxbin.005.fasta.contigs.fa,95.29,0.0,0.0,2042191,76902,0.9998404871428572
chicken1_D12_maxbin.006.fasta.contigs.fa,98.55,2.39,8.57,5508152,44538,0.9938386626666667
chicken1_D12_maxbin.007.fasta.contigs.fa,99.63,3.37,5.88,3192996,29345,0.996611504375
chicken1_D12_maxbin.008.fasta_sub.contigs.fa,96.3,2.78,30.77,3831224,81374,0.9972927121052632
chicken1_D12_maxbin.009.fasta.contigs.fa,97.59,1.5,0.0,4693598,57599,0.9995420207692309
chicken1_D12_maxbin.014.fasta.contigs.fa,95.28,0.13,0.0,2550026,40933,0.9972269826315788
chicken1_D12_maxbin.016.fasta.contigs.fa,94.94,3.16,0.0,3772938,71031,0.9982757221052632
chicken1_D12_maxbin.017.fasta.contigs.fa,90.94,0.69,0.0,2498923,118010,0.99948739375
chicken1_D12_maxbin.018.fasta.contigs.fa,76.0,6.82,0.0,1815193,60555,0.9998873663999999
chicken1_D12_maxbin.019.fasta.contigs.fa,98.08,1.48,0.0,3947981,112853,0.9999230966666668
chicken1_D12_maxbin.020.fasta.contigs.fa,69.73,2.91,0.0,1736128,76947,0.0
chicken1_D12_maxbin.021.fasta.contigs.fa,81.38,0.0,0.0,2412877,125051,0.9989774040909091
chicken1_D12_maxbin.022.fasta.contigs.fa,91.08,9.77,0.0,4189613,43806,0.9993099621739132
chicken1_D12_maxbin.023.fasta.contigs.fa,96.55,17.26,7.69,2835262,52927,0.9975443465384616
chicken1_D12_maxbin.024.fasta.contigs.fa,98.5,8.29,24.0,3547254,55818,0.9995604892592593
chicken1_D12_maxbin.025.fasta.contigs.fa,94.91,4.26,7.41,3470438,37219,0.9998135471428572
chicken1_D12_maxbin.026.fasta.contigs.fa,23.85,2.83,25.0,1700030,1814,0.0
chicken1_D12_maxbin.027.fasta_sub.contigs.fa,34.43,4.77,16.67,1961487,3662,0.0
chicken1_D12_maxbin.030.fasta_sub.contigs.fa,33.43,10.8,2.56,3196365,2120,0.0
chicken1_D12_maxbin.033.fasta.contigs.fa,83.88,12.87,5.0,2774632,4100,0.9990764454999999
chicken1_D12_maxbin.036.fasta.contigs.fa,56.75,10.61,2.44,4383751,1840,0.0
chicken1_D12_maxbin.038.fasta.contigs.fa,67.02,8.06,11.11,1696465,2136,0.0
chicken1_D12_metabat2.25.fa.contigs.fa,28.03,0.0,0.0,443583,7395,0.0
chicken1_D12_metabat2.34.fa.contigs.fa,5.7,0.0,0.0,266423,266423,0.0
chicken1_D12_metabat2.38.fa.contigs.fa,8.72,0.0,0.0,255040,85901,0.0
chicken1_D12_metabat2.53.fa.contigs.fa,72.21,0.17,0.0,1745859,7839,0.998764845
chicken1_D12_metabat2.74.fa.contigs.fa,84.39,0.64,0.0,2877530,30696,0.9945570220000001
