genome,completeness,contamination,strain_heterogeneity,length,N50
chicken1_D10_maxbin.014.fasta_sub.contigs.fa,63.87,14.09,0.0,2332647,75995
chicken1_D10_maxbin.016.fasta.contigs.fa,93.96,2.01,0.0,2538303,94806
chicken1_D10_maxbin.017.fasta.contigs.fa,83.67,2.68,0.0,2595014,80180
chicken1_D10_maxbin.019.fasta.contigs.fa,71.88,1.34,0.0,1776223,48077
chicken1_D10_maxbin.020.fasta.contigs.fa,85.01,0.67,0.0,2602384,80177
chicken1_D10_maxbin.021.fasta.contigs.fa,94.74,7.02,33.33,2657845,18140
chicken1_D10_maxbin.022.fasta.contigs.fa,33.83,6.19,16.67,2719921,20143
chicken1_D10_maxbin.026.fasta.contigs.fa,39.46,1.39,40.0,1151696,5293
chicken1_D10_maxbin.027.fasta.contigs.fa,77.58,40.3,3.31,5308853,52006
chicken1_D10_maxbin.028.fasta.contigs.fa,59.81,0.63,0.0,2000451,78500
chicken1_D10_maxbin.029.fasta.contigs.fa,76.19,0.68,0.0,1836565,56575
chicken1_D10_maxbin.030.fasta.contigs.fa,22.47,3.16,14.29,968697,33028
chicken1_D10_maxbin.031.fasta.contigs.fa,17.98,0.0,0.0,897729,22667
chicken1_D10_maxbin.034.fasta.contigs.fa,88.59,0.84,11.11,2609996,58578
chicken1_D10_maxbin.035.fasta.contigs.fa,93.97,41.91,77.01,3105668,13215
chicken1_D10_maxbin.036.fasta.contigs.fa,95.28,2.36,33.33,3059079,23683
chicken1_D10_maxbin.037.fasta.contigs.fa,87.96,10.28,3.57,2560411,30434
chicken1_D10_maxbin.038.fasta.contigs.fa,86.37,9.36,9.38,2684525,16267
chicken1_D10_maxbin.039.fasta.contigs.fa,93.23,7.03,35.71,3449934,7535
chicken1_D10_maxbin.042.fasta_sub.contigs.fa,70.19,15.48,2.5,2878426,5954
chicken1_D10_maxbin.044.fasta.contigs.fa,89.72,5.58,13.04,2409252,9709
chicken1_D10_maxbin.048.fasta.contigs.fa,70.51,38.63,18.37,1790739,4731
chicken1_D10_maxbin.049.fasta.contigs.fa,44.9,12.08,28.57,1640128,4259
chicken1_D10_maxbin.050.fasta.contigs.fa,68.07,8.84,4.76,3057946,3191
chicken1_D10_maxbin.054.fasta.contigs.fa,81.03,30.09,24.41,2497039,4083
chicken1_D10_maxbin.061.fasta.contigs.fa,7.21,1.08,36.36,656613,2215
chicken1_D10_maxbin.069.fasta.contigs.fa,53.74,13.5,0.0,1190301,1532
chicken1_D10_metabat2.32.fa.contigs.fa,27.97,0.0,0.0,524323,63571
chicken1_D10_metabat2.93.fa.contigs.fa,6.04,0.0,0.0,313903,202537
chicken1_D11_maxbin.001.fasta.contigs.fa,100.0,0.0,0.0,3954445,219571
chicken1_D11_maxbin.002.fasta.contigs.fa,43.09,0.87,62.5,1892772,15403
chicken1_D11_maxbin.003.fasta.contigs.fa,97.32,0.67,0.0,3292165,44320
chicken1_D11_maxbin.005.fasta.contigs.fa,88.1,0.91,0.0,2626792,69401
chicken1_D11_maxbin.007.fasta.contigs.fa,77.34,1.57,0.0,1497571,59709
chicken1_D11_maxbin.008.fasta.contigs.fa,94.34,4.85,0.0,2459411,40731
